City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,kano,12.0001,8.5167,28.94,65,20,3.6,NG,23-07-18
81,callao,-12.0667,-77.15,23.16,60,20,5.14,PE,23-07-18
82,grytviken,-54.2811,-36.5092,-5.94,77,13,4.68,GS,23-07-18
83,sitka,57.0531,-135.33,16.94,67,75,3.6,US,23-07-18
84,albany,42.6001,-73.9662,27.01,76,64,1.15,US,23-07-18
85,qingdao,36.0986,120.3719,23.78,88,0,1.0,CN,23-07-18
86,jamestown,42.097,-79.2353,24.73,55,40,5.14,US,23-07-18
87,greymouth,-42.4667,171.2,8.62,92,100,2.12,NZ,23-07-18
88,udachny,66.4167,112.4,13.27,74,67,5.85,RU,23-07-18
89,talnakh,69.4865,88.3972,12.73,83,100,7.15,RU,23-07-18
90,cooper's town,26.8667,-77.5167,29.48,70,100,3.49,BS,23-07-18
91,saipan,15.1355,145.701,27.03,100,40,2.57,MP,23-07-18
92,kirakira,-10.4544,161.9205,26.17,86,100,1.86,SB,23-07-18
93,naze,28.3667,129.4833,26.51,84,60,4.67,JP,23-07-18
94,bamboo flat,11.7,92.7167,29.05,79,75,6.17,IN,23-07-18
95,porto seguro,-16.4497,-39.0647,26.29,69,20,4.63,BR,23-07-18
96,fale old settlement,-9.3852,-171.2468,27.92,77,100,4.66,TK,23-07-18
97,alem paraiba,-21.8878,-42.7044,27.35,61,82,2.37,BR,23-07-18
98,macusani,-14.0833,-70.4333,10.22,47,39,4.34,PE,23-07-18
99,calama,-22.4667,-68.9333,23.27,4,0,5.66,CL,23-07-18
100,okahao,-17.885,15.0667,16.3,22,0,3.35,NA,23-07-18
101,enewetak,11.3474,162.3373,28.31,79,11,6.0,MH,23-07-18
102,al 'aziziyah,32.9058,45.0616,36.91,9,0,4.27,IQ,23-07-18
103,jiayuguan,39.8167,98.3,27.47,19,100,6.0,CN,23-07-18
104,tiksi,71.6872,128.8694,5.81,68,0,6.63,RU,23-07-18
105,oltinko'l,40.8011,72.1634,31.11,16,1,2.02,UZ,23-07-18
106,mount pearl,47.5166,-52.7813,28.58,76,75,10.29,CA,23-07-18
107,ust-nera,64.5667,143.2,17.78,45,100,2.07,RU,23-07-18
108,haiku-pauwela,20.9219,-156.3051,25.57,64,20,7.72,US,23-07-18
109,georgetown,5.4112,100.3354,27.97,89,20,3.09,MY,23-07-18
110,cabo san lucas,22.8909,-109.9124,35.2,43,20,4.12,MX,23-07-18
111,college,64.8569,-147.8028,18.7,76,75,2.57,US,23-07-18
112,nemuro,43.3236,145.575,13.16,95,100,1.49,JP,23-07-18
113,nova vicosa,-17.8919,-39.3719,25.5,67,6,5.21,BR,23-07-18
114,inongo,-1.95,18.2667,24.82,49,14,1.4,CD,23-07-18
115,queenstown,-31.8976,26.8753,16.18,27,0,7.15,ZA,23-07-18
116,okhotsk,59.3833,143.3,15.72,66,26,1.81,RU,23-07-18
117,ilulissat,69.2167,-51.1,9.01,87,40,1.54,GL,23-07-18
118,san patricio,28.017,-97.5169,35.58,32,0,6.66,US,23-07-18
